"","province","gender","age","edu","Number","Proportion"
"1","AB","Female","18 to 29","Didn't graduate college",40,0.0239664469742361
"2","AB","Female","18 to 29","Didn't graduate high school",7,0.00419412822049131
"3","AB","Female","18 to 29","Graduated college",31,0.018573996405033
"4","AB","Female","18 to 29","Graduated high school",40,0.0239664469742361
"5","AB","Female","30 to 44","Didn't graduate college",94,0.0563211503894548
"6","AB","Female","30 to 44","Didn't graduate high school",8,0.00479328939484721
"7","AB","Female","30 to 44","Graduated college",101,0.0605152786099461
"8","AB","Female","30 to 44","Graduated high school",58,0.0347513481126423
"9","AB","Female","45 to 59","Didn't graduate college",100,0.0599161174355902
"10","AB","Female","45 to 59","Didn't graduate high school",11,0.00659077291791492
"11","AB","Female","45 to 59","Graduated college",57,0.0341521869382864
"12","AB","Female","45 to 59","Graduated high school",59,0.0353505092869982
"13","AB","Female","60 plus","Didn't graduate college",85,0.0509286998202516
"14","AB","Female","60 plus","Didn't graduate high school",44,0.0263630916716597
"15","AB","Female","60 plus","Graduated college",61,0.03654883163571
"16","AB","Female","60 plus","Graduated high school",86,0.0515278609946076
"17","AB","Male","18 to 29","Didn't graduate college",24,0.0143798681845416
"18","AB","Male","18 to 29","Didn't graduate high school",7,0.00419412822049131
"19","AB","Male","18 to 29","Graduated college",27,0.0161773517076093
"20","AB","Male","18 to 29","Graduated high school",52,0.0311563810665069
"21","AB","Male","30 to 44","Didn't graduate college",88,0.0527261833433194
"22","AB","Male","30 to 44","Didn't graduate high school",9,0.00539245056920312
"23","AB","Male","30 to 44","Graduated college",84,0.0503295386458957
"24","AB","Male","30 to 44","Graduated high school",48,0.0287597363690833
"25","AB","Male","45 to 59","Didn't graduate college",94,0.0563211503894548
"26","AB","Male","45 to 59","Didn't graduate high school",23,0.0137807070101857
"27","AB","Male","45 to 59","Graduated college",44,0.0263630916716597
"28","AB","Male","45 to 59","Graduated high school",55,0.0329538645895746
"29","AB","Male","60 plus","Didn't graduate college",78,0.0467345715997603
"30","AB","Male","60 plus","Didn't graduate high school",44,0.0263630916716597
"31","AB","Male","60 plus","Graduated college",61,0.03654883163571
"32","AB","Male","60 plus","Graduated high school",49,0.0293588975434392
"33","BC","Female","18 to 29","Didn't graduate college",34,0.0139687756778965
"34","BC","Female","18 to 29","Didn't graduate high school",6,0.00246507806080526
"35","BC","Female","18 to 29","Graduated college",40,0.0164338537387017
"36","BC","Female","18 to 29","Graduated high school",53,0.0217748562037798
"37","BC","Female","30 to 44","Didn't graduate college",90,0.0369761709120789
"38","BC","Female","30 to 44","Didn't graduate high school",10,0.00410846343467543
"39","BC","Female","30 to 44","Graduated college",140,0.057518488085456
"40","BC","Female","30 to 44","Graduated high school",40,0.0164338537387017
"41","BC","Female","45 to 59","Didn't graduate college",141,0.0579293344289236
"42","BC","Female","45 to 59","Didn't graduate high school",15,0.00616269515201315
"43","BC","Female","45 to 59","Graduated college",121,0.0497124075595727
"44","BC","Female","45 to 59","Graduated high school",67,0.0275267050123254
"45","BC","Female","60 plus","Didn't graduate college",183,0.0751848808545604
"46","BC","Female","60 plus","Didn't graduate high school",80,0.0328677074774035
"47","BC","Female","60 plus","Graduated college",133,0.0546425636811832
"48","BC","Female","60 plus","Graduated high school",156,0.0640920295809367
"49","BC","Male","18 to 29","Didn't graduate college",35,0.014379622021364
"50","BC","Male","18 to 29","Didn't graduate high school",7,0.0028759244042728
"51","BC","Male","18 to 29","Graduated college",28,0.0115036976170912
"52","BC","Male","18 to 29","Graduated high school",61,0.0250616269515201
"53","BC","Male","30 to 44","Didn't graduate college",99,0.0406737880032868
"54","BC","Male","30 to 44","Didn't graduate high school",11,0.00451930977814297
"55","BC","Male","30 to 44","Graduated college",90,0.0369761709120789
"56","BC","Male","30 to 44","Graduated high school",55,0.0225965488907149
"57","BC","Male","45 to 59","Didn't graduate college",91,0.0373870172555464
"58","BC","Male","45 to 59","Didn't graduate high school",27,0.0110928512736237
"59","BC","Male","45 to 59","Graduated college",92,0.037797863599014
"60","BC","Male","45 to 59","Graduated high school",70,0.028759244042728
"61","BC","Male","60 plus","Didn't graduate college",140,0.057518488085456
"62","BC","Male","60 plus","Didn't graduate high school",70,0.028759244042728
"63","BC","Male","60 plus","Graduated college",133,0.0546425636811832
"64","BC","Male","60 plus","Graduated high school",116,0.047658175842235
"65","MB","Female","18 to 29","Didn't graduate college",25,0.0218340611353712
"66","MB","Female","18 to 29","Didn't graduate high school",8,0.00698689956331878
"67","MB","Female","18 to 29","Graduated college",16,0.0139737991266376
"68","MB","Female","18 to 29","Graduated high school",22,0.0192139737991266
"69","MB","Female","30 to 44","Didn't graduate college",51,0.0445414847161572
"70","MB","Female","30 to 44","Didn't graduate high school",11,0.00960698689956332
"71","MB","Female","30 to 44","Graduated college",53,0.0462882096069869
"72","MB","Female","30 to 44","Graduated high school",30,0.0262008733624454
"73","MB","Female","45 to 59","Didn't graduate college",53,0.0462882096069869
"74","MB","Female","45 to 59","Didn't graduate high school",9,0.00786026200873362
"75","MB","Female","45 to 59","Graduated college",36,0.0314410480349345
"76","MB","Female","45 to 59","Graduated high school",35,0.0305676855895196
"77","MB","Female","60 plus","Didn't graduate college",85,0.074235807860262
"78","MB","Female","60 plus","Didn't graduate high school",64,0.0558951965065502
"79","MB","Female","60 plus","Graduated college",40,0.0349344978165939
"80","MB","Female","60 plus","Graduated high school",67,0.0585152838427948
"81","MB","Male","18 to 29","Didn't graduate college",17,0.0148471615720524
"82","MB","Male","18 to 29","Didn't graduate high school",3,0.00262008733624454
"83","MB","Male","18 to 29","Graduated college",12,0.0104803493449782
"84","MB","Male","18 to 29","Graduated high school",29,0.0253275109170306
"85","MB","Male","30 to 44","Didn't graduate college",52,0.0454148471615721
"86","MB","Male","30 to 44","Didn't graduate high school",11,0.00960698689956332
