"","vote_2019","gender","edu","age","province","dummy_vote"
"1","Liberal Party","Female","Graduated college","30 to 44","ON",1
"2","Liberal Party","Female","Graduated high school","60 plus","BC",1
"3","Conservative Party","Female","Graduated college","45 to 59","ON",0
"4","Conservative Party","Male","Didn't graduate high school","30 to 44","AB",0
"5","Liberal Party","Male","Graduated college","60 plus","ON",1
"6","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"7","Conservative Party","Male","Didn't graduate high school","60 plus","ON",0
"8","Liberal Party","Male","Graduated college","30 to 44","QC",1
"9","Liberal Party","Male","Didn't graduate college","60 plus","ON",1
"10","Liberal Party","Male","Graduated college","30 to 44","AB",1
"11","Liberal Party","Female","Didn't graduate college","18 to 29","ON",1
"12","Liberal Party","Female","Graduated high school","18 to 29","ON",1
"13","Liberal Party","Male","Graduated high school","60 plus","QC",1
"14","Liberal Party","Female","Graduated college","45 to 59","BC",1
"15","Liberal Party","Male","Didn't graduate college","60 plus","SK",1
"16","Conservative Party","Female","Didn't graduate college","45 to 59","BC",0
"17","Conservative Party","Female","Graduated college","60 plus","BC",0
"18","Conservative Party","Female","Graduated college","30 to 44","AB",0
"19","Liberal Party","Female","Graduated college","60 plus","BC",1
"20","Liberal Party","Female","Graduated college","45 to 59","ON",1
"21","Liberal Party","Male","Didn't graduate college","45 to 59","AB",1
"22","Conservative Party","Male","Didn't graduate college","60 plus","AB",0
"23","Conservative Party","Male","Didn't graduate high school","60 plus","ON",0
"24","Liberal Party","Female","Graduated college","45 to 59","ON",1
"25","Conservative Party","Male","Didn't graduate college","45 to 59","ON",0
"26","Liberal Party","Male","Graduated college","60 plus","NL",1
"27","Conservative Party","Male","Didn't graduate high school","18 to 29","ON",0
"28","Conservative Party","Male","Graduated high school","45 to 59","QC",0
"29","Liberal Party","Female","Didn't graduate college","18 to 29","QC",1
"30","Liberal Party","Male","Graduated college","30 to 44","QC",1
"31","Conservative Party","Female","Graduated high school","30 to 44","AB",0
"32","Liberal Party","Female","Graduated college","60 plus","NB",1
"33","Liberal Party","Female","Graduated college","45 to 59","QC",1
"34","Conservative Party","Male","Didn't graduate college","60 plus","MB",0
"35","Conservative Party","Male","Graduated college","30 to 44","ON",0
"36","Conservative Party","Female","Didn't graduate college","30 to 44","SK",0
"37","Liberal Party","Female","Graduated college","60 plus","AB",1
"38","Conservative Party","Male","Graduated college","45 to 59","ON",0
"39","Conservative Party","Male","Didn't graduate college","30 to 44","NB",0
"40","Liberal Party","Female","Graduated high school","45 to 59","QC",1
"41","Liberal Party","Female","Graduated college","45 to 59","ON",1
"42","Liberal Party","Male","Graduated college","60 plus","BC",1
"43","Liberal Party","Female","Didn't graduate college","60 plus","AB",1
"44","Liberal Party","Male","Graduated college","45 to 59","AB",1
"45","Conservative Party","Female","Didn't graduate college","30 to 44","ON",0
"46","Liberal Party","Male","Didn't graduate college","60 plus","NS",1
"47","Conservative Party","Female","Didn't graduate college","45 to 59","AB",0
"48","Conservative Party","Female","Graduated college","45 to 59","ON",0
"49","Conservative Party","Female","Didn't graduate college","45 to 59","SK",0
"50","Conservative Party","Male","Graduated high school","60 plus","ON",0
"51","Liberal Party","Female","Graduated college","18 to 29","ON",1
"52","Conservative Party","Male","Didn't graduate high school","60 plus","AB",0
"53","Liberal Party","Male","Didn't graduate high school","45 to 59","AB",1
"54","Liberal Party","Female","Graduated high school","18 to 29","ON",1
"55","Conservative Party","Female","Graduated college","30 to 44","QC",0
"56","Liberal Party","Male","Graduated high school","60 plus","AB",1
"57","Conservative Party","Female","Graduated high school","60 plus","QC",0
"58","Liberal Party","Male","Didn't graduate college","30 to 44","QC",1
"59","Liberal Party","Female","Graduated college","45 to 59","NS",1
"60","Liberal Party","Female","Graduated college","45 to 59","ON",1
"61","Conservative Party","Female","Graduated high school","30 to 44","BC",0
"62","Liberal Party","Male","Graduated high school","45 to 59","BC",1
"63","Liberal Party","Female","Graduated college","45 to 59","ON",1
"64","Conservative Party","Female","Graduated college","30 to 44","ON",0
"65","Liberal Party","Male","Graduated college","30 to 44","QC",1
"66","Conservative Party","Female","Didn't graduate college","30 to 44","AB",0
"67","Liberal Party","Female","Didn't graduate college","18 to 29","NB",1
"68","Conservative Party","Female","Graduated college","30 to 44","ON",0
"69","Liberal Party","Female","Didn't graduate college","60 plus","MB",1
"70","Conservative Party","Male","Didn't graduate college","30 to 44","AB",0
"71","Conservative Party","Female","Didn't graduate college","45 to 59","AB",0
"72","Conservative Party","Female","Graduated college","30 to 44","AB",0
"73","Liberal Party","Female","Graduated college","30 to 44","BC",1
"74","Liberal Party","Male","Graduated college","60 plus","ON",1
"75","Liberal Party","Female","Graduated high school","60 plus","BC",1
"76","Liberal Party","Male","Graduated high school","60 plus","PE",1
"77","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"78","Liberal Party","Male","Graduated college","18 to 29","AB",1
"79","Conservative Party","Male","Graduated college","30 to 44","AB",0
"80","Liberal Party","Male","Graduated college","30 to 44","ON",1
"81","Conservative Party","Male","Graduated college","30 to 44","ON",0
"82","Conservative Party","Female","Graduated high school","18 to 29","SK",0
"83","Conservative Party","Female","Didn't graduate college","45 to 59","AB",0
"84","Conservative Party","Male","Didn't graduate college","60 plus","AB",0
"85","Liberal Party","Female","Graduated college","30 to 44","ON",1
