"","province","mean","lower","upper"
"1","AB",0.18185350509287,0.0461204313960455,0.346345116836429
"2","BC",0.496013249794577,0.294155710764174,0.69516228430567
"3","MB",0.391260043668122,0.19825327510917,0.593886462882096
"4","NB",0.552677438080495,0.33202399380805,0.76936919504644
"5","NL",0.593401328273245,0.369046489563567,0.805502846299811
"6","NS",0.664644556596972,0.45203677000721,0.859408795962509
"7","ON",0.52304435483871,0.320722098628105,0.718205413422321
"8","PE",0.714335914454277,0.451290560471976,0.929240412979351
"9","QC",0.633091334418226,0.433136696501221,0.815032546786005
"10","SK",0.176220027247956,0.0381471389645777,0.338805631244324
