"","vote_2019","gender","edu","age","province","dummy_vote"
"1","Liberal Party","Female","Didn't graduate college","60 plus","BC",1
"2","Conservative Party","Male","Graduated college","60 plus","ON",0
"3","Liberal Party","Female","Graduated college","18 to 29","ON",1
"4","Liberal Party","Female","Graduated college","18 to 29","ON",1
"5","Conservative Party","Female","Graduated college","60 plus","ON",0
"6","Liberal Party","Female","Graduated college","60 plus","ON",1
"7","Liberal Party","Female","Graduated high school","45 to 59","BC",1
"8","Conservative Party","Male","Graduated college","18 to 29","ON",0
"9","Liberal Party","Male","Graduated college","60 plus","ON",1
"10","Liberal Party","Male","Graduated high school","30 to 44","PE",1
"11","Conservative Party","Male","Graduated college","60 plus","ON",0
"12","Liberal Party","Female","Graduated college","30 to 44","QC",1
"13","Conservative Party","Female","Graduated college","60 plus","AB",0
"14","Liberal Party","Female","Didn't graduate college","60 plus","NS",1
"15","Conservative Party","Male","Graduated college","60 plus","ON",0
"16","Conservative Party","Male","Graduated college","45 to 59","AB",0
"17","Conservative Party","Female","Graduated college","30 to 44","QC",0
"18","Liberal Party","Male","Graduated high school","60 plus","MB",1
"19","Conservative Party","Female","Graduated college","30 to 44","NS",0
"20","Conservative Party","Female","Didn't graduate college","30 to 44","QC",0
"21","Liberal Party","Female","Didn't graduate college","30 to 44","BC",1
"22","Liberal Party","Male","Graduated college","45 to 59","BC",1
"23","Liberal Party","Female","Graduated college","18 to 29","ON",1
"24","Liberal Party","Male","Graduated college","60 plus","ON",1
"25","Conservative Party","Male","Graduated college","60 plus","SK",0
"26","Conservative Party","Male","Didn't graduate college","30 to 44","NL",0
"27","Conservative Party","Male","Graduated college","60 plus","ON",0
"28","Conservative Party","Male","Graduated college","30 to 44","ON",0
"29","Conservative Party","Female","Graduated college","45 to 59","ON",0
"30","Liberal Party","Male","Graduated college","30 to 44","BC",1
"31","Liberal Party","Male","Graduated college","18 to 29","ON",1
"32","Liberal Party","Female","Graduated high school","30 to 44","BC",1
"33","Liberal Party","Female","Graduated college","18 to 29","SK",1
"34","Liberal Party","Female","Graduated high school","60 plus","QC",1
"35","Conservative Party","Female","Didn't graduate college","30 to 44","MB",0
"36","Conservative Party","Female","Graduated college","60 plus","QC",0
"37","Conservative Party","Male","Didn't graduate college","45 to 59","ON",0
"38","Conservative Party","Male","Graduated college","45 to 59","BC",0
"39","Conservative Party","Female","Graduated college","60 plus","AB",0
"40","Conservative Party","Female","Didn't graduate college","45 to 59","MB",0
"41","Conservative Party","Male","Graduated college","45 to 59","ON",0
"42","Liberal Party","Female","Graduated college","60 plus","QC",1
"43","Conservative Party","Male","Graduated college","60 plus","AB",0
"44","Liberal Party","Female","Graduated college","60 plus","AB",1
"45","Liberal Party","Female","Graduated college","45 to 59","ON",1
"46","Conservative Party","Male","Graduated high school","60 plus","BC",0
"47","Liberal Party","Female","Graduated high school","30 to 44","QC",1
"48","Liberal Party","Male","Graduated high school","18 to 29","AB",1
